,source,target
0,25,160
1,32,87
2,32,100
3,41,99
4,75,135
5,75,145
6,97,149
7,142,74
8,10,110
9,32,148
10,49,103
11,70,1
12,75,55
13,75,63
14,129,166
15,136,3
16,136,198
17,175,122
18,156,50
19,27,121
20,32,206
21,86,123
22,136,34
23,189,76
24,189,92
25,52,172
26,97,24
27,175,131
28,129,147
29,180,11
30,15,22
31,32,0
32,175,60
33,189,67
34,35,75
35,70,181
36,97,91
37,142,103
38,180,68
39,185,2
40,189,102
41,200,155
42,10,204
43,15,187
44,32,101
45,41,30
46,27,144
47,75,26
48,97,88
49,151,79
50,15,106
51,25,130
52,32,174
53,70,169
54,12,115
55,27,183
56,15,65
57,35,63
58,32,43
59,32,161
60,15,4
61,32,111
62,10,105
63,10,138
64,103,19
65,142,20
66,15,182
67,32,124
68,96,36
69,97,66
70,41,104
71,52,46
72,12,95
73,15,45
74,32,143
75,41,173
76,41,16
77,58,133
78,75,203
79,78,192
80,15,112
81,32,201
82,90,39
83,103,191
84,142,71
85,196,85
86,103,117
87,134,159
88,41,202
89,86,21
90,78,193
91,156,126
92,32,54
93,32,184
94,90,48
95,129,157
96,170,118
97,196,13
98,156,47
99,156,89
100,136,93
101,142,167
102,103,7
103,136,158
104,41,29
105,90,82
106,196,113
107,156,81
108,52,165
109,70,69
110,176,103
111,189,98
112,175,61
113,32,8
114,32,72
115,103,107
116,136,5
117,41,120
118,58,205
119,180,6
120,189,140
121,151,33
122,156,23
123,136,171
124,142,9
125,10,177
126,32,127
127,75,84
128,75,188
129,142,49
130,175,56
131,196,132
132,200,150
133,75,154
134,134,186
135,196,44
136,199,77
137,136,37
138,142,137
139,35,53
140,52,42
141,136,168
142,189,162
143,78,119
144,142,94
145,198,136
146,151,194
147,175,59
148,27,17
149,41,164
150,196,64
151,97,51
152,189,28
153,189,38
154,190,125
155,52,109
156,156,178
